genus,nifH,nifD,nifK,nifE,nifN,nifB,acdS,ipdC/ppdC,pqqB,pqqC,pqqD,pqqE,pqqF,pqq-DH
Acidovorax,2,0,0,0,0,0,2,2,2,2,2,2,0,2
Acinetobacter,10,0,0,0,0,0,2,11,10,10,10,10,0,11
Agrobacterium,0,0,0,0,0,0,0,9,0,0,0,0,0,9
Bacillus,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Citrobacter,0,0,0,0,0,0,10,10,0,0,0,0,0,3
Curtobacterium,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Enterobacter,18,18,18,18,18,18,70,70,0,0,0,3,0,70
Hafnia,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Herbaspirillum,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Klebsiella,40,40,40,40,40,40,40,40,1,1,0,0,0,40
Kosakonia,9,9,9,9,9,9,9,9,0,0,0,0,0,9
Lactococcus,0,0,0,0,0,0,0,23,0,0,0,17,0,0
Leifsonia,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Microbacterium,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Micrococcus,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Morganella,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Pantoea,0,0,0,0,0,0,11,11,11,11,11,11,11,11
Pseudomonas,31,2,2,2,2,2,27,32,32,32,32,32,29,32
Rahnella,23,23,23,23,23,23,53,53,53,53,53,53,0,53
Raoultella,12,12,12,12,12,12,12,12,1,0,0,0,0,11
Rhodococcus,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Serratia,0,0,0,0,0,0,17,17,0,0,0,1,0,17
Stenotrophomonas,14,0,0,0,0,0,0,14,0,0,0,1,0,13
unassigned,95,90,90,90,90,89,156,165,23,23,25,25,20,160
Total,259,194,194,194,194,193,414,492,133,132,133,156,60,441
